,molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm
1654,CHEMBL605727,Cc1ncnc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C(C)(C)C)C3)C[C@@H]2C1,active,186.0,489.6640000000003,3.313640000000002,0.0,5.0,186.0
1655,CHEMBL604680,Cc1ncnc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C(C)(C)CO)C3)C[C@@H]2C1,active,56.0,505.66300000000035,2.28604,1.0,6.0,56.0
1656,CHEMBL604680,Cc1ncnc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C(C)(C)CO)C3)C[C@@H]2C1,active,310.0,505.66300000000035,2.28604,1.0,6.0,310.0
1657,CHEMBL594208,Cc1ncnc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(S(=O)(=O)C4CCCC4)C3)C[C@@H]2C1,active,27.0,537.7300000000004,3.0133400000000012,0.0,6.0,27.0
1658,CHEMBL594208,Cc1ncnc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(S(=O)(=O)C4CCCC4)C3)C[C@@H]2C1,active,458.0,537.7300000000004,3.0133400000000012,0.0,6.0,458.0
1659,CHEMBL592940,Cc1ncnc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CCC(F)(F)CC4)C3)C[C@@H]2C1,active,28.0,551.6820000000002,4.093040000000004,0.0,5.0,28.0
1660,CHEMBL592940,Cc1ncnc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CCC(F)(F)CC4)C3)C[C@@H]2C1,active,10.0,551.6820000000002,4.093040000000004,0.0,5.0,10.0
1661,CHEMBL593520,Cc1ncnc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CC(F)(F)C4)C3)C[C@@H]2C1,active,30.0,523.6280000000003,3.3128400000000022,0.0,5.0,30.0
1662,CHEMBL593520,Cc1ncnc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CC(F)(F)C4)C3)C[C@@H]2C1,active,93.0,523.6280000000003,3.3128400000000022,0.0,5.0,93.0
1663,CHEMBL593184,Cc1nc(C(F)(F)F)nc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CCOC4)C3)C[C@@H]2C1,active,38.0,571.6440000000001,3.322840000000002,0.0,6.0,38.0
1664,CHEMBL593184,Cc1nc(C(F)(F)F)nc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CCOC4)C3)C[C@@H]2C1,active,92.0,571.6440000000001,3.322840000000002,0.0,6.0,92.0
1665,CHEMBL592993,Cc1nc(C(F)(F)F)nc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CCC(F)(F)CC4)C3)C[C@@H]2C1,active,30.0,619.6790000000001,5.111840000000005,0.0,5.0,30.0
1666,CHEMBL592993,Cc1nc(C(F)(F)F)nc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CCC(F)(F)CC4)C3)C[C@@H]2C1,active,5.0,619.6790000000001,5.111840000000005,0.0,5.0,5.0
1667,CHEMBL593195,Cc1nc(C(F)(F)F)nc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CC(F)(F)C4)C3)C[C@@H]2C1,active,66.0,591.6250000000001,4.331640000000004,0.0,5.0,66.0
1668,CHEMBL593195,Cc1nc(C(F)(F)F)nc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CC(F)(F)C4)C3)C[C@@H]2C1,active,168.0,591.6250000000001,4.331640000000004,0.0,5.0,168.0
1669,CHEMBL592997,Cc1ccnc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CCC(F)(F)CC4)C3)C[C@@H]2C1,active,38.0,550.6940000000002,4.698040000000004,0.0,4.0,38.0
1670,CHEMBL592997,Cc1ccnc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CCC(F)(F)CC4)C3)C[C@@H]2C1,active,15.0,550.6940000000002,4.698040000000004,0.0,4.0,15.0
1671,CHEMBL596523,Cc1ccnc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CC(F)(F)C4)C3)C[C@@H]2C1,active,60.0,522.6400000000002,3.9178400000000035,0.0,4.0,60.0
1672,CHEMBL596523,Cc1ccnc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CC(F)(F)C4)C3)C[C@@H]2C1,active,53.0,522.6400000000002,3.9178400000000035,0.0,4.0,53.0
1673,CHEMBL593027,Cc1cc(C#N)nc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CCC(F)(F)CC4)C3)C[C@@H]2C1,active,17.0,575.7040000000001,4.569720000000005,0.0,5.0,17.0
1674,CHEMBL593027,Cc1cc(C#N)nc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CCC(F)(F)CC4)C3)C[C@@H]2C1,active,0.3,575.7040000000001,4.569720000000005,0.0,5.0,0.3
1675,CHEMBL593042,Cc1cc(C#N)nc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CC(F)(F)C4)C3)C[C@@H]2C1,active,24.0,547.6500000000002,3.789520000000003,0.0,5.0,24.0
1676,CHEMBL593042,Cc1cc(C#N)nc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CC(F)(F)C4)C3)C[C@@H]2C1,active,1.0,547.6500000000002,3.789520000000003,0.0,5.0,1.0
1677,CHEMBL593046,Cc1cc(C(F)(F)F)nc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CCC(F)(F)CC4)C3)C[C@@H]2C1,active,21.0,618.6910000000001,5.716840000000007,0.0,4.0,21.0
1678,CHEMBL593046,Cc1cc(C(F)(F)F)nc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CCC(F)(F)CC4)C3)C[C@@H]2C1,active,2.0,618.6910000000001,5.716840000000007,0.0,4.0,2.0
1679,CHEMBL593080,Cc1cc(C(F)(F)F)nc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CC(F)(F)C4)C3)C[C@@H]2C1,active,22.0,590.6370000000001,4.936640000000005,0.0,4.0,22.0
1680,CHEMBL593080,Cc1cc(C(F)(F)F)nc(C)c1C(=O)N1C[C@@H]2CN(CCC3(c4ccccc4)CN(C(=O)C4CC(F)(F)C4)C3)C[C@@H]2C1,active,3.0,590.6370000000001,4.936640000000005,0.0,4.0,3.0
1681,CHEMBL536743,CCCCN1C(=O)C(CC2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccccc3)cc1)CC2.Cl,active,28.0,554.1750000000002,6.332800000000008,1.0,4.0,28.0
1682,CHEMBL537424,CCCCN1C(=O)C(CC(C)C)NC(=O)C12CCN(Cc1ccc(Oc3ccccc3)cc1)CC2.Cl,active,94.0,514.1100000000002,5.408500000000005,1.0,4.0,94.0
1683,CHEMBL556798,CCCCN1C(=O)C(CC2CCCCC2)NC(=O)C12CCN(Cc1ccc3c(c1)OCCO3)CC2.Cl,active,50.0,520.1140000000004,4.311700000000004,1.0,5.0,50.0
